DATE;GDPITA;EXPO;YIELD10Y;UN_RATE
01/07/2017;402224.5;134570.5;2.1502533333333333;11.3000000000000000
01/10/2017;404386.5;137550.1;1.8857400000000000;11.0000000000000000
01/01/2018;403946.6;136175.6;2.0101466666666667;10.9333333333333333
01/04/2018;404105.5;137469.5;2.2324033333333333;10.8000000000000000
01/07/2018;404641.4;140286.5;2.9208133333333333;10.2666666666666667
01/10/2018;405855.6;141465.4;3.2780166666666667;10.5000000000000000
01/01/2019;406631.9;141707.6;2.7574566666666667;10.3333333333333333
01/04/2019;407527.7;143605.5;2.5151133333333333;9.9666666666666667
01/07/2019;407688.2;141848.2;1.31987666666666666667;9.6000000000000000
01/10/2019;404483.5;142123.1;1.21320000000000000000;9.6666666666666667
01/01/2020;380698.9;132854.8;1.26055666666666666667;9.0000000000000000
01/04/2020;334629.2;96606.1;1.6721233333333333;8.6000000000000000
01/07/2020;383071.1;126086.2;1.06979666666666666667;10.0000000000000000
01/10/2020;379911.6;130573.7;0.67069000000000000000;9.7666666666666667
01/01/2021;380915.6;133985.1;0.63668666666666666667;10.1666666666666667
01/04/2021;390401.9;142144.4;0.88557666666666666667;9.8000000000000000
01/07/2021;401449.4;149178.7;0.71743333333333333333;9.1000000000000000
01/10/2021;404847.4;153981.4;1.00362333333333333333;9.0000000000000000
01/01/2022;405417.7;168063.5;1.6646000000000000;8.5000000000000000
01/04/2022;409840.1;177381.3;3.0219333333333333;8.0666666666666667
