DATE;GDPITA;EXPO;YIELD10Y;UN_RATE
01/01/1995;351786.0;59192.6;12.7384966666666667;11.2333333333333333
01/04/1995;352890.0;62033.5;12.6957900000000000;11.1000000000000000
01/07/1995;352158.0;61185.2;11.8041100000000000;11.1666666666666667
01/10/1995;355198.0;62691.9;11.5870666666666667;11.1000000000000000
01/01/1996;357430.1;62171.6;10.5460966666666667;11.0000000000000000
01/04/1996;356966.2;61631.4;9.8683733333333333;11.3000000000000000
01/07/1996;357406.6;61434.9;9.3601066666666667;11.1000000000000000
01/10/1996;356215.4;62253.5;7.8303666666666667;11.2000000000000000
01/01/1997;357479.9;63195.8;7.5360600000000000;11.2666666666666667
01/04/1997;362298.3;65627.4;7.3743666666666667;11.4000000000000000
01/07/1997;364805.0;66992.3;6.5104966666666667;11.0000000000000000
01/10/1997;371363.9;67963.1;6.0225133333333333;11.3000000000000000
01/01/1998;368556.4;70069.1;5.3356433333333333;11.1000000000000000
01/04/1998;370710.6;69673.2;5.1442466666666667;11.5000000000000000
01/07/1998;371220.7;67588.6;4.7610233333333333;11.3000000000000000
01/10/1998;369184.0;66057.7;4.2883133333333333;11.4333333333333333
01/01/1999;371729.6;65420.8;4.0824533333333333;11.1000000000000000
01/04/1999;373018.3;66068.7;4.3348733333333333;11.0666666666666667
01/07/1999;376310.3;68152.9;5.1179800000000000;10.9333333333333333
01/10/1999;381812.6;71521.7;5.3757000000000000;10.6666666666666667
01/01/2000;386061.8;76229.1;5.6837400000000000;10.5666666666666667
01/04/2000;389215.4;77321.5;5.5466833333333333;10.2666666666666667
01/07/2000;391607.6;81563.4;5.5954266666666667;9.9666666666666667
01/10/2000;397486.2;83951.9;5.4748666666666667;9.6000000000000000
01/01/2001;399854.3;83568.4;5.1657533333333333;9.3666666666666667
01/04/2001;398454.2;85563.2;5.3766666666666667;9.1333333333333333
01/07/2001;397192.0;83067.7;5.2755833333333333;9.0333333333333333
01/10/2001;396398.7;82257.0;4.9371433333333333;8.8666666666666667
01/01/2002;397056.4;82504.4;5.2508466666666667;8.5333333333333333
01/04/2002;398494.4;82375.2;5.3550900000000000;8.8333333333333333
01/07/2002;399310.6;82156.9;4.8520600000000000;8.6000000000000000
01/10/2002;401004.4;83505.3;4.6802266666666667;8.4666666666666667
01/01/2003;399582.6;82354.4;4.2389700000000000;8.7333333333333333
01/04/2003;399051.2;79203.5;4.0563833333333333;8.4666666666666667
01/07/2003;398717.6;81053.7;4.2466100000000000;8.4000000000000000
01/10/2003;402229.1;82402.4;4.4508000000000000;8.2000000000000000
01/01/2004;403288.7;83624.7;4.2760400000000000;8.2666666666666667
01/04/2004;404887.7;86776.3;4.4626066666666667;8.0333333333333333
01/07/2004;404671.4;88533.8;4.3226033333333333;7.8333333333333333
01/10/2004;405966.9;87697.8;3.9734500000000000;7.9666666666666667
01/01/2005;404922.1;88920.3;3.7423533333333333;7.9000000000000000
01/04/2005;408200.5;91248.2;3.5369600000000000;7.8000000000000000
01/07/2005;410792.5;92800.7;3.3914700000000000;7.6333333333333333
01/10/2005;411423.2;95294.6;3.5509266666666667;7.6666666666666667
01/01/2006;412038.7;98245.8;3.7212400000000000;7.3333333333333333
01/04/2006;414954.2;100872.2;4.2670800000000000;6.9666666666666667
01/07/2006;416943.3;101898.6;4.1710000000000000;6.6666666666666667
01/10/2006;422349.5;107747.6;4.0258866666666667;6.5000000000000000
01/01/2007;421191.2;107807.4;4.2397033333333333;6.2333333333333333
01/04/2007;422335.6;109898.2;4.5439633333333333;6.0000000000000000
01/07/2007;423216.2;112185.5;4.6391500000000000;6.2000000000000000
01/10/2007;421696.4;111865.8;4.5262200000000000;6.4000000000000000
01/01/2008;426610.6;114537.5;4.3769366666666667;6.6000000000000000
01/04/2008;422559.0;112750.5;4.7801200000000000;6.8666666666666667
01/07/2008;417211.8;109957.0;4.9042000000000000;6.7333333333333333
01/10/2008;405787.6;101518.6;4.6637800000000000;7.0000000000000000
01/01/2009;395665.4;88603.1;4.5384833333333333;7.4666666666666667
01/04/2009;393694.1;85881.3;4.4591000000000000;7.5666666666666667
01/07/2009;396191.1;88210.2;4.1921866666666667;8.0333333333333333
01/10/2009;397498.4;90227.4;4.0550800000000000;8.4000000000000000
01/01/2010;398852.7;94206.1;4.0234233333333333;8.6000000000000000
01/04/2010;401631.3;99482.3;4.0275666666666667;8.6333333333333333
01/07/2010;403421.7;102780.8;3.8967266666666667;8.3333333333333333
01/10/2010;405583.1;105624.3;4.1957633333333333;8.3666666666666667
01/01/2011;407685.5;108844.8;4.7800266666666667;8.2000000000000000
01/04/2011;407868.7;111375.0;4.8041700000000000;8.2000000000000000
01/07/2011;405877.4;112190.1;5.4931733333333333;8.6333333333333333
01/10/2011;401953.2;112179.6;6.6136400000000000;9.3666666666666667
01/01/2012;397390.4;113813.2;5.7106066666666667;10.2000000000000000
01/04/2012;394655.3;115308.0;5.7876100000000000;10.7333333333333333
01/07/2012;392635.3;117225.9;5.6905233333333333;11.0333333333333333
01/10/2012;389725.5;115089.3;4.7819633333333333;11.6333333333333333
01/01/2013;385940.2;115681.8;4.4469833333333333;12.1333333333333333
01/04/2013;386085.8;114903.4;4.2068400000000000;12.3666666666666667
01/07/2013;386922.6;116691.7;4.4594900000000000;12.3666666666666667
01/10/2013;386131.8;115883.8;4.1522300000000000;12.5666666666666667
01/01/2014;386793.5;116947.3;3.6388300000000000;12.9000000000000000
01/04/2014;386608.1;117492.8;3.0904000000000000;12.6333333333333333
01/07/2014;387141.9;118786.4;2.6088133333333333;12.7333333333333333
